,negative,positive
surrah,2,0
disbelievers,1,0
polytheists,1,0
hellfire,1,1
hadith,4,0
urf,2,0
normative,2,0
interpreted,6,11
shar,1,0
ia,7,0
unified,4,2
accepts,15,20
scholarship,5,4
applicable,3,2
quotations,4,0
fundamentalism,2,1
righteousness,3,4
unsuspensful,1,0
unsexy,1,1
unfathomable,6,2
ripoffs,3,3
knockoffs,1,0
degeneracy,1,0
fourteen,4,5
misty,22,13
ayers,14,0
orchestral,4,12
godzirra,1,0
usher,6,5
plex,4,1
lusts,5,2
kristel,6,2
inviting,8,9
subplot,26,23
chauffeur,4,1
extort,1,0
faking,3,4
dissolved,1,4
flirtation,1,2
teachers,29,19
nods,8,3
affirmatively,1,0
bombed,8,6
corporate,18,30
ladders,2,1
deem,3,3
adoption,5,4
terrorizes,3,1
pen,10,13
letters,23,16
flo,5,0
healy,7,1
yasbeck,2,1
luring,1,4
warden,14,17
bigoted,9,4
despises,3,3
resolve,8,15
vandalism,1,1
twerp,4,1
beats,29,24
mpaa,5,10
pranks,15,11
shamefacedly,1,0
prevailing,2,5
cato,3,0
figurative,4,2
admirer,4,13
marlene,8,9
dietrich,7,12
guilt,20,43
pittsburgh,5,3
aubrey,1,5
basil,5,10
rathbone,2,16
caricature,15,13
diviner,1,4
foretells,1,1
selznick,2,3
inflated,4,3
annoyance,13,10
randomized,1,0
unrecommended,2,0
businesslike,1,0
vigilante,5,9
esp,3,4
menacing,26,37
foreshadowing,10,5
ambiguous,13,28
submit,11,8
hopper,19,23
stared,6,1
poorest,7,5
vid,1,0
jagger,15,12
pondering,5,7
occupied,8,16
cambodia,7,9
brigade,7,2
monks,16,10
dislodge,1,0
hun,2,1
fecal,8,0
formed,9,27
dissent,1,2
ranks,29,33
snidely,1,0
whiplash,1,0
arcy,3,1
buddhist,2,9
monk,17,23
aphrodisiac,1,0
woo,7,29
noland,2,0
conquer,2,8
shuddered,3,0
potion,7,3
chant,6,5
segel,3,0
geeks,9,6
undeclared,1,1
proposition,3,4
blackmailer,4,3
scams,3,2
crudeness,1,3
minors,2,0
dysfunctional,18,23
babysitter,7,4
possessing,3,4
terrorizing,10,3
babysitters,1,2
incredibles,1,1
shrek,3,15
bug,21,33
zemeckis,5,5
sf,13,11
creeping,5,2
fright,12,10
beforehand,10,8
xander,2,1
adrienne,1,1
barbeau,2,2
avocado,1,0
titans,4,6
steroid,1,1
pressing,4,5
academies,1,0
reestablish,1,0
segregation,3,3
troubling,4,5
giants,16,16
uncritical,2,1
acclaim,14,12
scripture,8,6
whimsical,4,19
lifestyles,4,8
considers,12,12
heartfelt,5,29
bootstraps,1,1
conditions,21,26
piano,22,31
quarter,15,17
differ,2,10
thematically,4,11
spiralling,1,1
abel,3,2
ferrara,2,2
operatic,7,9
cronenberg,3,3
butterfly,6,9
uncommonly,1,2
velvet,8,11
shattering,9,12
attribute,4,2
creditable,4,3
parodying,7,2
parodied,4,3
precision,4,11
parodies,14,11
reigert,1,0
danielle,10,2
easier,30,38
municipalians,4,0
centurians,1,0
robby,5,2
idealistic,8,10
rookie,7,25
wimpy,9,3
grizzled,10,1
drinks,11,12
booze,12,3
irreverent,8,11
decline,22,10
cocaine,14,9
withdrawn,4,6
frigid,3,2
mulling,1,0
shaking,23,11
hatred,27,50
lungren,2,0
retreated,1,0
dicey,1,1
armored,3,1
baddies,12,12
punks,9,0
glow,10,5
breakaway,1,0
twinkle,2,3
turret,1,2
hath,1,2
wrought,4,8
furie,3,1
skimpy,9,3
makinen,1,0
yon,1,1
saalistajat,1,0
linkage,3,0
pimple,1,0
sync,14,11
casted,9,10
ejecting,2,0
fixture,1,1
finishing,13,13
torrence,1,1
duvall,16,20
grin,9,12
pointy,6,0
eyebrows,11,5
droney,1,0
hedge,2,0
roque,3,0
mallet,4,1
completly,3,0
halorann,1,0
froze,2,1
apalled,1,0
hallorann,1,4
reccomend,2,5
dis,7,4
kubrik,1,0
feelbeyond,1,0
ineptitude,14,1
dubbers,1,0
penpals,1,0
ebonics,2,0
kno,1,0
wahm,1,0
sayin,2,1
comrad,1,0
patrons,5,2
irrelevent,2,0
xxx,3,2
cowhand,1,0
shagging,2,1
calf,5,8
kibbutz,22,0
yrs,3,9
youngsters,10,11
raiding,4,1
israel,12,29
eden,7,1
emek,1,0
craziness,5,13
eurotrash,4,2
cannibals,14,5
epics,5,11
robowar,1,0
altro,1,0
inferno,4,4
artisan,4,0
temp,1,2
bradford,6,7
investments,3,0
brokerage,1,0
firm,18,26
deidre,2,1
kelley,4,2
screwing,12,3
broker,4,1
digs,8,10
bostwick,1,2
embezzle,2,1
compensate,11,8
surprises,37,59
tyson,9,6
dissected,1,0
wof,1,0
apocalyptic,6,11
vehicular,1,3
jostled,1,0
explode,13,8
billowing,1,0
unavoidably,1,2
rampant,10,8
cheapie,2,2
accelerate,2,1
constipated,7,1
gladiators,2,1
definate,1,0
endulge,1,0
mariachi,2,0
taqueria,1,0
departed,5,10
smack,8,5
grape,2,3
elevators,2,4
diverts,1,2
halloran,4,0
dumbest,21,3
columns,4,1
afro,4,10
nymphomaniacs,1,0
bypass,3,2
kubricks,2,1
fawning,2,1
inarticulate,3,1
resource,1,3
razzie,11,1
sergio,3,11
leone,7,7
spins,3,5
tramples,1,0
bravado,5,7
trashing,4,4
immortalized,1,5
experts,11,9
blasphemy,2,3
callan,1,1
photographer,26,28
regarded,15,23
troubles,14,30
cheats,7,7
soo,7,8
paras,1,0
avoidwell,2,0
artyfartyrati,1,0
linger,5,3
lunch,11,15
sojourns,1,0
unpleasantness,3,6
distasteful,10,3
commendable,6,13
ans,1,3
snatches,2,4
elusiveness,1,0
beginnings,4,8
clunky,10,5
expositional,2,1
smallville,2,11
soaps,7,5
bogus,11,11
infliction,2,0
grocery,5,8
litter,5,6
confirmed,8,10
arye,2,0
storage,6,3
perlman,14,1
windex,2,0
misfit,4,7
considine,1,3
pantoliano,3,5
kristy,4,3
swanson,5,7
lighter,10,21
makings,4,2
impressions,7,13
hellboy,1,0
intervention,4,13
scener,1,0
pivotal,7,14
todays,9,11
lowly,4,4
cody,11,3
sheesh,5,1
graber,1,0
daley,1,0
henchman,13,8
handguns,2,0
gordan,4,0
tweak,4,1
nipples,4,5
sung,13,29
bots,8,1
servo,6,0
crow,13,3
aboard,13,10
pumpkin,6,1
labratory,1,0
boxing,10,33
wires,5,3
crooks,18,15
hooks,7,5
helmut,1,1
granite,1,0
planetthe,1,0
betty,12,17
hunky,10,7
taye,2,0
diggs,2,0
lowell,7,3
baywatch,5,2
mastery,3,13
masterworks,3,2
trio,25,36
grifters,1,5
princesses,1,3
counterfeit,1,1
insinuate,3,1
visiting,14,27
ambassador,3,0
foolish,19,17
wooing,3,3
savings,4,3
balcony,8,5
fascinated,18,25
erich,3,2
restoration,3,17
kino,4,6
restores,2,8
gi,7,9
girlfriends,12,10
automatically,25,15
restricting,2,1
proclaim,5,3
escapism,3,5
ridley,4,5
unremarkable,9,6
shy,9,53
furlong,1,2
eleonora,2,0
inherited,12,11
karl,9,33
perplex,1,1
enigmatically,3,0
possession,8,10
dependence,4,2
complicatedly,1,0
masked,15,14
giada,4,0
clinical,2,5
mysteriously,18,9
metaphoric,2,2
materialises,2,1
aimless,3,4
insignificant,6,6
delves,5,5
salty,1,2
filtered,3,6
bump,8,2
sluggish,10,1
lingering,11,7
professionally,9,6
gloomy,11,10
imagines,4,6
potently,1,0
dramatically,19,9
cues,10,5
sensually,4,1
seymour,9,27
cassel,3,13
pokes,11,10
stances,1,0
stump,2,1
raccoon,5,1
munching,4,1
dumbass,2,0
porcupine,1,1
quills,1,0
fishhooks,1,0
weakly,6,2
bs,5,3
skippy,2,2
ties,16,25
wussy,4,0
sammi,2,18
curr,1,10
unreleased,4,2
simmons,5,34
elise,3,2
partyi,1,0
sprawled,2,0
painter,5,20
vaudevillian,2,0
durante,20,0
undercut,6,1
lapel,2,0
dp,5,5
gallery,13,16
tackle,10,14
slight,29,42
lounge,5,3
aug,3,0
kimble,2,2
ped,2,0
isla,3,1
fisher,15,67
jorma,1,0
taccone,1,0
sissy,10,31
spacek,7,5
remarried,1,2
powell,12,100
brawls,1,1
charging,6,6
sponsor,3,1
buses,11,3
donations,1,2
rubber,35,5
closets,9,2
feebly,2,0
shrieks,4,0
xylophone,2,2
compering,1,0
wierd,1,1
someplaces,1,0
catogoricaly,1,0
unequivocally,1,0
supposibly,1,0
indendoes,1,0
tasteless,29,11
pretences,1,0
aplogise,1,0
grandchildren,2,6
stepheni,1,0
assisting,2,4
morita,5,4
thurman,12,9
trimming,2,3
toenails,5,0
sorting,3,1
drawer,5,6
corky,11,4
categories,7,10
howl,4,8
confuse,13,5
veiled,4,3
eco,2,0
impenetrable,2,2
spiritualism,3,0
nausicaa,2,12
adamson,6,3
steckler,2,0
pantheon,3,7
wary,5,9
stewardesses,6,1
underwent,2,1
livingston,5,4
nymphet,1,1
premier,6,11
enterprise,14,39
aloung,1,0
pol,3,6
kissing,11,24
hoshi,1,2
writersany,1,0
legacy,18,23
norman,16,41
bartold,1,0
greeted,5,5
morrow,5,1
anders,4,4
domergue,13,0
davalos,1,1
mills,10,8
fella,1,5
isenberg,1,0
elga,1,0
ivy,5,11
bethune,1,0
kartalian,1,0
mundanely,1,0
fridge,10,6
monson,3,0
milliagn,1,0
milligan,5,0
norden,1,0
cane,6,9
whodunit,7,7
wasp,1,1
piranha,5,0
pirahna,1,0
crystal,27,14
muffled,5,3
blessing,10,9
astoundingly,5,4
greenlit,2,0
austrailian,1,1
affinity,5,6
humourous,1,0
lunchroom,1,0
monologue,10,10
signaled,2,1
purposely,9,6
juxtaposing,2,4
madagascar,1,1
aspired,2,0
goddard,3,4
pathos,7,20
laden,15,12
interjected,3,0
vaudeville,7,14
cole,13,59
excerpt,5,1
burnett,3,5
rudy,5,3
deluca,1,0
spoliers,1,0
moviepicking,1,0
thieves,13,16
liz,9,18
beheaded,3,1
midgets,7,0
sphere,2,5
dwarfs,5,4
anticlimactic,7,0
nekeddo,1,0
bur,2,0
ddo,1,0
researched,5,5
cactus,1,2
disappeared,23,26
closed,23,22
cityscapes,1,0
consequence,15,8
rotation,4,1
universal,35,60
hd,4,5
warriors,18,20
denim,4,1
jackets,3,1
frayed,2,0
bottoms,6,1
kristen,7,5
patricia,8,25
arquette,36,3
nancy,15,98
handles,16,16
wrists,9,1
fishburne,7,29
orderly,3,2
stern,11,21
accommodating,1,0
perfected,6,14
uncooperative,1,3
hysteria,9,9
langenkamp,1,0
gigantic,11,12
swallow,18,6
mechanical,14,23
punishes,2,1
groan,13,3
sleepwalking,12,1
muscles,8,5
tendons,1,0
ouch,7,3
fathered,2,0
wheelchair,10,13
mohawk,1,2
realizes,30,62
collectively,3,7
subtitled,7,13
overshadows,2,4
traitors,1,1
liars,3,3
flung,4,3
thunder,13,11
decomposes,1,0
autopsy,8,4
dedication,4,14
scrambling,2,2
jeez,10,1
typing,4,3
crapulastic,1,0
hartnett,18,0
jipped,1,0
quintessential,3,21
neurotic,13,20
manhattanites,1,0
cheat,11,6
spouses,4,1
creativity,24,23
apply,10,12
angst,13,18
neuroticism,1,0
rehashing,3,3
slop,6,1
standby,1,1
stimulated,1,1
illusion,7,13
subatomic,5,0
barriers,3,8
assert,4,8
poppycock,2,0
asserts,3,4
remotest,2,0
astronomically,1,1
misrepresent,1,1
unhappy,21,27
marlee,7,0
maitlan,1,0
addiction,11,23
elegant,11,37
pbs,5,9
newton,3,9
witten,1,0
mechanics,9,5
fog,15,21
metaphysical,6,7
appropriation,1,0
orcas,3,0
dhubert,1,0
selby,1,1
aronofsky,3,0
unbiased,5,3
vices,2,4
brooklyn,6,41
launched,11,10
skyward,2,1
crucified,3,0
breakers,2,2
brooklyners,1,0
uli,3,0
edel,6,4
meager,5,4
leigh,23,12
hooker,14,11
tralala,2,0
composition,7,19
provocative,11,24
ramones,5,38
strewn,1,4
oppressive,6,9
stamp,8,2
screened,5,13
evel,1,0
pattern,21,17
lime,1,0
lethim,1,0
professionals,14,8
theset,1,0
aliceevans,1,0
fromteen,1,0
andill,1,0
isa,1,0
sabotage,5,5
acoustic,2,1
booms,2,0
apparentlyunengineered,1,0
onlyintermittently,1,0
remembers,9,18
auditory,2,0
offscreen,4,0
wehave,1,0
ofrecent,1,0
achievement,18,49
showtime,3,7
therese,1,0
cheddar,1,0
miraculously,15,3
cemented,2,2
isolation,6,20
creaky,3,2
sometime,12,26
attributed,9,8
vampirism,3,0
compounded,4,2
lionel,4,15
atwill,7,8
niemann,1,1
herring,6,6
dwight,3,15
frye,1,8
wielding,15,14
lional,1,0
wray,2,8
collaborations,5,6
hoodwink,1,1
noting,11,7
strayer,1,1
blondie,4,2
implying,5,4
robertson,10,9
unscrupulous,3,9
megalomaniacal,4,1
coalition,2,3
misunderstanding,6,4
wiccans,2,0
spiritualists,1,0
hindus,1,1
democrats,2,0
feminists,3,2
evolutionists,1,0
environmentalists,2,1
nasa,6,2
fanatical,8,6
daily,26,49
transform,6,6
militarized,1,0
noses,8,3
donation,2,4
measly,5,0
mines,7,7
reprimanded,5,1
genocidal,3,0
dictators,1,1
zaire,1,0
zimbabwe,2,0
wealth,18,30
hosts,8,9
typed,4,3
afflictions,1,0
applause,7,12
cronies,5,6
falwell,1,0
september,9,32
punishing,5,2
practices,5,7
sinful,6,3
brothels,3,1
fruitful,1,1
venezuelan,1,5
hugo,3,20
chavez,1,37
evangelical,6,0
plight,10,29
holocaust,18,9
discredit,2,5
pinocchio,2,0
encircle,1,0
emulating,3,1
chastising,1,0
overturning,1,1
bins,3,1
telethons,1,0
synagogue,3,0
harbinger,1,2
armageddon,4,9
lds,6,14
mormonism,1,0
reenacting,2,0
forming,5,7
outlook,4,12
establish,9,18
naturedly,1,0
entering,13,8
contests,5,2
temper,5,13
hilton,7,10
valve,1,0
hairdo,8,4
appreciation,14,32
inebriationit,1,0
crud,10,0
alternates,7,3
translated,16,26
yaaawwnnn,1,0
aided,12,20
wells,16,42
showgirls,7,1
dabbling,1,1
invisibilation,2,0
cutoff,1,0
prone,9,11
worker,27,40
volcano,3,3
stdvd,2,0
wargames,4,0
mega,12,11
colm,4,2
feore,2,2
mathew,3,0
decapitate,2,0
specializing,2,1
corneal,1,0
transplants,5,0
chemist,3,1
sawyer,1,3
unlucky,8,10
recipient,7,0
breasted,5,3
sondra,7,15
gard,1,0
strips,7,8
bandages,3,0
icy,6,10
huber,1,0
kia,2,0
skank,2,2
predicament,6,9
brush,9,12
recollections,2,3
andros,1,0
levi,6,1
hassled,2,0
siodmak,2,7
evers,6,2
tarri,1,0
markel,1,0
confronts,8,8
bald,11,6
kass,1,0
mestressat,1,0
lasts,15,15
lycanthropy,4,0
homemade,7,5
trots,5,0
gunk,4,0
dissolve,5,2
transformed,12,16
leroy,4,2
shag,2,1
carpet,12,8
immobile,1,2
sterling,5,19
notoriously,3,4
bilancio,1,0
unsees,1,0
survives,21,14
summarising,2,0
guild,3,2
attendance,3,8
gage,1,14
evoked,5,8
gales,1,1
delayed,2,5
qualifies,7,10
ba,3,1
battlefield,9,9
slumberness,1,0
lulled,1,1
shambles,7,4
katherine,8,6
hepburn,10,19
receptive,2,1
muck,4,2
razor,11,22
reincarnation,12,5
gere,10,22
pakula,2,0
crater,10,5
woeful,8,4
tireless,1,1
fuse,3,4
paleontologist,1,0
drawings,9,12
aquatic,4,1
meteor,13,22
claymation,5,6
pools,2,2
antic,2,1
mitch,10,25
scarce,3,9
hail,3,6
affairs,19,18
possessive,6,3
scars,4,9
spermikins,1,0
mishap,6,2
miscarriage,6,3
heir,7,12
intervened,2,1
insemination,1,1
neighbourhood,1,1
barren,4,6
bras,5,2
uneducated,8,5
illiterate,7,5
hires,13,16
pillow,8,8
petticoat,3,0
womb,3,1
abo,6,1
pronounced,10,9
frumpy,3,1
dresser,1,2
combinations,1,2
potato,3,2
hives,1,0
prada,1,1
greatness,12,16
rummaging,2,0
intrigued,27,33
pressures,4,9
jeux,1,0
enfants,1,4
eva,34,37
longoria,13,12
cooky,2,1
rudd,14,12
drippy,3,1
charmless,2,0
anemic,8,0
overtime,3,0
biggs,11,3
dicaprio,7,7
pi,8,2
laziness,7,3
vast,22,31
funneled,1,2
stresses,3,5
owing,5,5
stylised,4,6
discourse,5,6
shorthand,4,2
hart,15,49
aiden,1,7
gillan,1,0
ewan,7,9
bremner,2,0
trainspotting,3,2
incomprehensibly,2,0
structured,9,15
outdated,21,10
idiom,1,2
catwoman,4,3
wimp,8,6
nightwing,1,1
batgirl,1,5
allies,15,11
btas,2,0
adversaries,3,6
liberals,4,5
seal,9,9
regardless,32,32
san,28,66
franfreako,1,0
nfl,1,1
nhl,1,0
upsets,2,3
warms,1,7
imbecilic,4,0
mistreated,2,5
reprehensibly,1,0
shoving,6,2
parallel,18,37
sniper,9,16
inches,6,1
refractive,1,0
hq,1,2
schumacher,5,7
complained,6,16
ely,3,2
bama,1,0
paintings,8,26
lucking,2,0
eldon,1,0
hensley,2,2
ardala,4,0
valmar,1,0
calkins,1,0
aura,3,18
cher,13,38
tuska,1,0
wexler,2,1
blob,7,59
meteorite,5,6
channeler,1,0
bona,3,6
fides,1,0
promotions,2,0
disclosing,1,3
underpinnings,2,5
channeling,3,8
baloney,2,4
wacko,3,5
tiptoe,1,0
infomercial,6,0
rogerebert,1,0
suntimes,1,0
apps,1,0
pbcs,1,0
dll,1,0
answerman,1,0
goings,9,14
massage,3,0
parlour,4,0
newly,13,30
cindy,11,12
undefined,1,2
composite,1,2
meanders,11,2
grateful,14,26
griminess,1,0
lyu,4,0
censorship,4,15
committee,11,3
poland,5,9
unwise,5,0
catastrophe,13,4
masculine,6,10
stellar,8,40
jerzy,1,1
stuhr,1,0
repeats,16,5
innuendos,6,1
sonny,20,14
chiba,41,0
biographical,4,7
mas,11,1
oyama,1,1
practitioner,3,0
numbed,3,1
worships,4,2
shoddiness,5,1
pans,10,11
haphazardly,6,2
confusingly,1,0
ennio,5,2
morricone,6,3
vows,5,10
forthright,1,1
briefcase,4,2
marital,6,8
handlers,1,0
tongues,3,3
contemporaries,3,13
neptune,2,0
leotard,3,0
boobies,3,3
shortest,3,1
plasticine,2,0
craftsmanship,6,3
trousers,6,2
seedier,2,1
actively,7,6
resurgence,1,6
successors,1,2
existant,1,0
broach,1,0
glue,2,8
sniffing,4,3
prostitution,6,12
lieu,2,4
dental,9,7
rectal,3,0
tumors,2,0
filmcritics,1,0
switzerland,6,9
barrier,4,5
futile,9,6
lowering,4,0
bandwagon,4,1
papua,1,0
tobias,2,2
schneebaum,2,4
intertwined,4,11
yamika,1,0
relayed,1,1
zatoichi,15,2
analogy,6,9
takeshi,2,1
bloodier,2,1
skipable,1,0
naval,10,15
proud,37,66
torpedo,3,0
dde,2,0
submerged,4,4
headline,2,1
ossie,3,2
rea,3,22
bronze,3,3
ample,12,9
conquers,7,2
martians,10,8
yor,1,0
sousa,2,2
rumors,8,14
lacklustre,5,3
mutilation,9,3
sentenced,7,11
electric,21,20
sonnenschein,2,0
translates,1,4
upwardly,1,3
assimilate,1,3
successive,2,2
eldest,1,9
ww,25,24
newsreel,5,4
lurches,6,1
hapsburgs,1,0
assimilation,2,0
diary,9,15
ost,1,1
flashes,11,9
gump,10,5
impresario,1,1
eli,17,12
meter,8,5
feeds,3,5
reservoir,1,3
succumb,2,3
dibello,2,0
archetypal,2,7
inertia,1,1
sensibly,1,0
pancakes,8,3
pumps,3,1
frights,3,1
gurney,1,1
ala,8,9
tint,1,3
aims,10,4
cup,23,42
sensibilities,9,11
temerity,1,1
rapists,13,4
uncut,17,22
delaying,2,1
lengthening,2,0
imbeciles,3,2
imbecile,3,1
slender,1,1
camille,8,1
screamed,13,8
exceedingly,8,8
wayward,5,6
whip,11,12
creeps,11,10
peeps,1,1
nightgowns,1,2
disappearing,9,8
suspiria,3,1
suggestive,8,13
hokiest,1,0
unmistakeably,1,0
osmond,1,0
avon,1,1
kaye,5,9
severeid,1,0
haley,4,6
pavillion,1,0
sibling,9,12
vaughn,20,8
embittered,4,5
giamatti,14,1
limelight,2,2
patented,4,3
auditor,1,0
higgins,4,2
elf,9,5
seasonal,3,2
commercialism,3,1
weisz,16,0
kathy,9,13
bates,10,33
rantings,3,0
dobkin,2,1
staid,3,0
auntie,5,6
pudding,4,4
nope,27,5
clause,8,2
greenstreet,7,0
idolize,1,2
footsteps,11,7
skilled,11,13
privy,2,2
uvsc,1,0
advertise,2,5
sensationalized,1,2
objectionable,5,3
mormon,26,6
defames,1,0
banked,1,0
miscalculation,2,1
colleges,6,3
diluted,2,3
promoted,13,19
conservative,21,27
misnomer,2,0
voted,20,15
overwhelmingly,8,2
bush,30,27
gulf,4,4
ideological,6,3
quakers,1,0
pubs,1,3
taverns,1,0
evelyn,8,22
disrobe,3,1
antonio,15,19
teffe,4,0
roberto,4,4
maldera,1,0
settles,6,7
agatha,5,15
foxy,4,5
injected,7,3
miraglia,2,3
complexions,1,0
englishman,6,7
sultry,3,6
erika,23,15
blanc,3,6
streak,8,10
relieve,5,3
courtney,4,11
intonation,2,4
dani,7,13
lads,4,8
nibby,1,0
competing,9,9
def,3,5
cof,1,0
crappiness,2,0
dcom,2,0
brenda,15,25
homecoming,9,3
shin,6,28
snake,41,18
esquire,15,13
weep,8,2
crumbled,2,1
peaked,4,1
reunite,4,12
anniversary,3,14
offs,18,10
dawsons,1,0
backyard,15,5
malibu,2,0
creepshow,13,1
penned,10,12
distinguished,6,10
lamour,2,0
pallet,2,0
saddled,11,2
lucille,8,19
fletcher,2,1
inger,1,2
offerings,3,5
chiles,5,2
condemn,3,8
bullies,10,9
correction,2,2
adjectives,2,1
putrid,10,5
snowman,10,17
investigators,2,4
biopic,6,24
deeds,9,16
sloooow,2,0
rugs,2,0
howzbout,1,0
plural,1,1
polygamy,3,0
omission,2,1
omissions,3,3
supplies,6,13
tarred,1,0
feathered,2,2
hyrum,1,0
carthage,2,0
nations,8,15
nauvoo,3,0
doorways,2,1
suppressing,3,3
expositor,1,0
ordering,5,5
persecution,2,3
militia,3,4
bushman,2,1
biography,10,30
aback,2,3
plates,7,2
binder,1,16
translating,2,3
peering,1,1
seer,1,0
inaccuracy,7,1
shooter,7,8
rounds,13,12
masonic,1,0
signal,13,2
distress,9,19
shattered,8,8
omitting,3,2
disciplined,1,0
endured,13,3
hardship,3,8
fruition,4,5
potatoes,5,2
newbold,1,0
cranky,5,3
methodist,3,1
seeker,3,0
snooping,2,3
gushed,1,0
perpetually,5,8
magnified,2,2
laxman,1,1
sharpest,3,1
elicit,7,3
avidly,2,2
heartwrenching,2,1
overwhelmed,3,13
relaying,1,0
hasty,4,6
judgments,2,3
preface,2,1
readers,11,13
archaeologists,4,1
broaching,1,0
scrolling,3,1
archaeological,5,1
relics,3,3
neverending,3,3
superhumans,1,0
invade,3,4
tunneling,2,0
trooper,2,0
lairs,1,0
warehouses,1,4
impalements,1,0
unused,5,4
conspiracies,10,1
trunks,1,1
backstabbing,5,3
fangoria,4,2
meticulous,2,6
mislead,5,3
yummy,4,5
lottery,3,4
schwadel,2,0
dice,5,4
reassembled,1,0
ching,4,12
circulate,2,0
prop,14,6
graveyard,11,11
driftwood,1,0
gobbledy,1,0
gook,1,0
campiness,4,5
gnat,1,1
radioactive,3,13
beams,2,4
filing,4,4
lawsuits,1,3
unprecedented,7,5
mincemeat,2,0
novelette,1,0
diaries,5,7
cheapest,6,3
nicer,4,6
reproduce,4,2
microwave,4,0
uttter,1,0
exodus,1,0
execs,8,1
jazz,13,28
bizarrely,10,3
tritely,1,0
regretfully,3,2
agonisingly,1,0
mightily,3,4
unformulaic,1,0
flan,1,0
peculiar,11,16
oft,3,6
terminally,3,6
realistically,9,13
weepie,2,0
incompatible,2,3
advocate,5,8
lifelessly,1,1
marthe,4,1
keller,9,13
uninhibited,2,5
sensitivity,6,19
expressionless,5,0
teutonic,1,1
vill,1,0
omelet,1,1
reforming,1,1
harping,2,0
faults,16,31
liberating,3,2
conqueror,1,0
supporters,5,10
concensus,1,0
consensus,10,2
almighty,7,13
irrepressible,1,4
toe,12,7
wondrous,4,12
assumptions,9,4
crichton,2,1
toeing,1,0
greens,2,3
kyoto,3,0
abiding,8,7
backers,3,1
explores,5,28
gagool,1,0
cunning,4,16
kolchak,2,37
prepped,2,0
darren,6,31
mcgavin,6,9
noticing,9,5
pokey,1,0
emulated,1,2
knightly,7,9
mccallum,1,1
frill,2,1
seaside,2,11
heartstring,1,0
discourage,4,1
meth,10,0
uselessly,2,0
feedback,4,0
bart,6,10
sibrel,2,0
freely,7,4
sites,9,14
responses,2,5
whistleblowing,1,0
programme,5,9
disproven,1,0
paulsen,3,1
hatchet,2,1
comparisons,4,30
underdeveloped,11,3
luxurious,4,6
mountaineer,1,0
quincy,3,9
rushton,3,0
roebson,1,0
crashes,24,8
terrain,3,4
consumes,1,3
roughing,1,3
yukon,2,3
brisk,3,9
confrontation,21,27
dilemmas,4,4
initiate,2,0
continuously,10,9
intermittent,2,2
jefferson,3,2
chime,5,1
sara,10,21
stupor,3,2
sette,1,0
accord,1,2
addisonoh,1,0
tarintino,2,0
sneers,2,0
glares,1,0
sushi,1,1
couches,2,1
chairs,7,2
amoral,6,7
shares,8,23
foes,3,6
toshiro,4,1
mifune,3,1
chow,5,13
introductory,3,4
viva,6,5
dope,12,3
dialect,5,10
overexposure,1,1
hedged,1,1
chopping,10,5
weed,10,5
whacker,1,0
compositions,3,12
bodyguard,16,14
depends,14,20
oversights,1,0
strains,5,5
credulous,1,0
judgment,14,11
shaken,5,5
chattered,1,0
castanet,1,0
panzram,14,0
scribbled,2,0
memoirs,6,7
scraps,2,1
selfless,1,7
journal,8,4
gaddis,1,0
sodomized,1,1
sodomizing,1,0
elaborates,1,0
taft,1,3
oregon,7,5
ciera,1,0
payton,1,3
luscious,6,9
catfight,1,0
fondling,5,2
reversal,6,4
eggert,4,0
charade,4,2
morrisette,1,0
switching,12,9
tanked,4,1
exterminators,5,1
descriptions,5,6
motor,9,4
psychos,9,0
cavorting,3,2
wreaking,3,0
buffoonery,3,0
legitimately,2,5
spectator,6,5
hapless,15,16
shucks,2,0
paraphrase,6,4
strain,6,11
overexciting,1,0
inadequacy,2,1
promoters,1,1
volunteering,2,2
wings,8,22
gayle,3,1
ronnie,6,4
bobb,2,0
augie,2,0
mclovins,1,0
mintz,3,0
plasse,3,0
mater,2,3
addict,13,21
stink,19,5
weighing,3,1
filmic,6,4
fof,2,0
toddler,5,5
nativity,1,0
grimace,3,0
assedness,1,0
cruddy,2,2
castel,2,1
multi,26,41
pocketing,1,1
hefty,5,0
pressley,2,0
sorted,1,3
keusch,4,0
efficiency,4,5
bog,6,4
vintage,5,19
beatings,8,5
jumbled,7,3
centre,14,21
crutch,3,2
establishing,8,10
backdrops,8,13
perks,2,1
actioners,1,3
preconceived,4,2
notions,7,11
crowe,6,11
gladaitor,1,0
receieved,1,0
nominations,7,22
baz,1,0
lurhmann,1,0
gosford,2,1
highpoint,2,3
extenuating,2,0
cornelia,2,0
sharpe,2,2
whites,7,18
lily,8,75
whiter,1,0
albino,1,0
decipher,4,4
gentleman,7,35
heartbreak,4,6
ridge,3,3
spots,27,45
publicdomain,1,0
littlesearch,1,0
eliminate,5,9
indifferent,14,16
conniving,4,8
coma,12,12
charges,11,12
wes,23,27
craven,19,35
financiers,2,0
weinsteins,2,0
thrash,4,0
bram,4,3
stoker,4,0
styled,6,3
helsing,10,2
descendant,7,4
leeches,1,1
obtained,5,3
exhumed,2,0
flown,4,3
repeating,15,16
belle,22,6
tinted,3,2
twit,6,1
cogsworth,2,0
shutting,4,3
unbearably,6,6
potts,5,1
lansbury,6,10
roars,3,0
horrifically,2,3
snarls,2,0
growls,1,2
styles,15,40
boasting,5,0
synched,1,0
